,test,prediccion
2020-08-13 13:00:00,114.73,112.46265403640962
2020-08-13 14:00:00,115.53,104.62881247594527
2020-08-13 15:00:00,118.83,96.1448280210293
2020-08-13 16:00:00,119.61,98.64889506659709
2020-08-13 17:00:00,120.35,111.2225341136839
2020-08-13 18:00:00,121.94,120.84333044350271
2020-08-13 19:00:00,122.36,114.12236991894576
2020-08-13 20:00:00,120.52,89.45531582509554
2020-08-13 21:00:00,53.55,58.51078268848067
2020-08-13 22:00:00,44.76,36.16632912922881
2020-08-13 23:00:00,43.34,28.640603115125636
2020-08-14 00:00:00,42.24,30.544319107941064
2020-08-14 01:00:00,41.81,32.40411846593379
2020-08-14 02:00:00,41.72,30.24560137443875
2020-08-14 03:00:00,43.8,27.766888813305208
2020-08-14 04:00:00,45.91,29.999586783906558
2020-08-14 05:00:00,47.35,36.245793909957094
2020-08-14 06:00:00,50.27,40.39814581572735
2020-08-14 07:00:00,51.73,38.40841424369083
2020-08-14 08:00:00,52.0,34.54905501510642
2020-08-14 09:00:00,51.11,38.86980703393131
2020-08-14 10:00:00,51.59,57.36154243834113
2020-08-14 11:00:00,115.82,84.49149023318009
2020-08-14 12:00:00,114.09,106.30791639260514
2020-08-14 13:00:00,113.68,112.1786793556802
2020-08-14 14:00:00,114.61,104.33560733754251
2020-08-14 15:00:00,112.56,95.82757489462091
2020-08-14 16:00:00,112.53,98.29130568596958
2020-08-14 17:00:00,114.39,110.8070312463524
2020-08-14 18:00:00,117.91,120.35125500017472
2020-08-14 19:00:00,119.9,113.53421105043995
2020-08-14 20:00:00,118.0,88.75096132418253
2020-08-14 21:00:00,46.98,57.669786700576196
2020-08-14 22:00:00,51.7,35.168193904828385
2020-08-14 23:00:00,49.1,27.46507130554739
2020-08-15 00:00:00,44.12,29.17167291838335
2020-08-15 01:00:00,43.51,30.815481840917514
2020-08-15 02:00:00,43.12,28.423241292076384
2020-08-15 03:00:00,42.26,25.694511717739957
2020-08-15 04:00:00,42.16,27.662626214069356
2020-08-15 05:00:00,42.45,33.631685406411684
2020-08-15 06:00:00,43.24,37.49658532630858
2020-08-15 07:00:00,43.23,35.2115963834879
2020-08-15 08:00:00,41.37,31.051887755983554
2020-08-15 09:00:00,40.92,35.07009964796076
2020-08-15 10:00:00,40.73,53.26016379903814
2020-08-15 11:00:00,104.86,80.09249492575002
2020-08-15 12:00:00,103.9,101.61863644009769
2020-08-15 13:00:00,102.96,107.2097797783798
2020-08-15 14:00:00,104.33,99.10110417072579
2020-08-15 15:00:00,105.87,90.34481473769782
2020-08-15 16:00:00,105.84,92.58090633132012
2020-08-15 17:00:00,109.8,104.89278338278889
2020-08-15 18:00:00,117.94,114.25998546650175
2020-08-15 19:00:00,117.96,107.29560859837947
2020-08-15 20:00:00,117.61,82.39736629283587
2020-08-15 21:00:00,45.75,51.235946465987354
2020-08-15 22:00:00,45.54,28.69098639657458
2020-08-15 23:00:00,41.52,20.983199287814436
2020-08-16 00:00:00,40.79,22.72533210960779
2020-08-16 01:00:00,40.03,24.446006282124245
2020-08-16 02:00:00,39.71,22.172729686617394
2020-08-16 03:00:00,39.07,19.605438716387823
2020-08-16 04:00:00,38.33,21.7774428386317
2020-08-16 05:00:00,38.4,27.99241296353275
2020-08-16 06:00:00,39.97,32.14440728692091
2020-08-16 07:00:00,39.9,30.186452754743662
2020-08-16 08:00:00,36.34,26.392076486342376
2020-08-16 09:00:00,34.62,30.811889549951715
2020-08-16 10:00:00,35.57,49.437423390504975
2020-08-16 11:00:00,98.46,76.73634141713738
2020-08-16 12:00:00,104.55,98.75710891533936
2020-08-16 13:00:00,100.33,104.86754033010487
2020-08-16 14:00:00,98.61,97.29917048931424
2020-08-16 15:00:00,105.02,89.1003272963112
2020-08-16 16:00:00,106.18,91.90693291750132
2020-08-16 17:00:00,115.3,104.79816333718892
2020-08-16 18:00:00,118.49,114.74921553730775
2020-08-16 19:00:00,118.31,108.36877184835862
2020-08-16 20:00:00,118.07,84.05010502046115
2020-08-16 21:00:00,46.9,53.45947961535468
2020-08-16 22:00:00,47.4,31.472171391804032
2020-08-16 23:00:00,40.44,24.304637779133728
2020-08-17 00:00:00,40.11,26.565518568835827
2020-08-17 01:00:00,40.2,28.779517933384724
2020-08-17 02:00:00,40.39,26.970455773148572
2020-08-17 03:00:00,42.65,24.83484666893257
2020-08-17 04:00:00,47.8,27.402878478132784
2020-08-17 05:00:00,51.11,33.975431508503576
2020-08-17 06:00:00,50.85,38.44413156948884
2020-08-17 07:00:00,51.45,36.759954756828805
2020-08-17 08:00:00,50.36,33.1947780434346
2020-08-17 09:00:00,49.39,37.7979778666691
2020-08-17 10:00:00,49.72,56.56027684324509
2020-08-17 11:00:00,115.24,83.94896102291517
2020-08-17 12:00:00,114.63,106.01255078852799
2020-08-17 13:00:00,111.0,112.11934445889483
2020-08-17 14:00:00,110.17,104.50178121204479
2020-08-17 15:00:00,110.67,96.20950097428249
2020-08-17 16:00:00,110.79,98.88012847278229
2020-08-17 17:00:00,115.03,111.59491152438034
2020-08-17 18:00:00,118.47,121.33146308989816
2020-08-17 19:00:00,122.21,114.70119694515702
2020-08-17 20:00:00,121.56,90.10040086735313
2020-08-17 21:00:00,50.46,59.198603305138526
2020-08-17 22:00:00,49.48,36.87455565807183
2020-08-17 23:00:00,45.06,29.348363647368366
2020-08-18 00:00:00,42.48,31.23244742239206
2020-08-18 01:00:00,41.61,33.055381956242115
2020-08-18 02:00:00,41.66,30.84490623590201
2020-08-18 03:00:00,44.6,28.301460005416878
2020-08-18 04:00:00,49.15,30.459120602726635
2020-08-18 05:00:00,53.01,36.622581288993715
2020-08-18 06:00:00,53.89,40.68716484364948
2020-08-18 07:00:00,53.39,38.60739074206377
2020-08-18 08:00:00,52.38,34.6584903829831
2020-08-18 09:00:00,51.24,38.892972973784296
2020-08-18 10:00:00,50.96,57.30444254813702
2020-08-18 11:00:00,115.35,84.36278885671594
2020-08-18 12:00:00,111.83,106.11883549633055
2020-08-18 13:00:00,111.6,111.94286459103719
2020-08-18 14:00:00,113.29,104.0689648018
2020-08-18 15:00:00,115.64,95.54808045733233
2020-08-18 16:00:00,115.78,98.01878907108389
2020-08-18 17:00:00,117.57,110.56293735936447
2020-08-18 18:00:00,119.89,120.1583852587479
2020-08-18 19:00:00,121.94,113.41644771289336
2020-08-18 20:00:00,120.79,88.73297801030422
2020-08-18 21:00:00,51.62,57.7767484610938
2020-08-18 22:00:00,49.68,35.42545031728412
2020-08-18 23:00:00,47.1,27.897846154005386
2020-08-19 00:00:00,43.47,29.804754052905636
2020-08-19 01:00:00,41.74,31.672914801430824
2020-08-19 02:00:00,41.47,29.528030240498893
2020-08-19 03:00:00,44.92,27.06833112258157
2020-08-19 04:00:00,50.97,29.32554660382818
2020-08-19 05:00:00,52.33,35.601916334650625
2020-08-19 06:00:00,51.13,39.79023848192547
2020-08-19 07:00:00,51.87,37.842471534253576
2020-08-19 08:00:00,48.33,34.031283940372134
2020-08-19 09:00:00,48.7,38.40665371814437
2020-08-19 10:00:00,48.28,56.95971810382494
2020-08-19 11:00:00,108.94,84.15799555309462
2020-08-19 12:00:00,108.44,106.05006309673797
2020-08-19 13:00:00,102.96,112.00410797816608
2020-08-19 14:00:00,101.98,104.25230004637197
2020-08-19 15:00:00,101.28,95.84386239305994
2020-08-19 16:00:00,100.87,98.41586725905262
2020-08-19 17:00:00,104.96,111.04888710879213
2020-08-19 18:00:00,115.11,120.71975020930414
2020-08-19 19:00:00,118.36,114.03899038630566
2020-08-19 20:00:00,117.33,89.40193464423125
2020-08-19 21:00:00,44.87,58.47708445879512
2020-08-19 22:00:00,44.51,36.14211263309154
2020-08-19 23:00:00,39.57,28.616009061520735
2020-08-20 00:00:00,37.89,30.510054845132093
2020-08-20 01:00:00,37.98,32.35167614552486
2020-08-20 02:00:00,39.12,30.16746613830763
2020-08-20 03:00:00,39.58,27.656733676617513
2020-08-20 04:00:00,45.07,29.852451082911692
2020-08-20 05:00:00,49.52,36.05824235825017
2020-08-20 06:00:00,50.89,40.168405497097524
2020-08-20 07:00:00,51.13,38.136487135105824
2020-08-20 08:00:00,50.52,34.23680397342348
2020-08-20 09:00:00,48.51,38.52101352463522
2020-08-20 10:00:00,47.26,56.981934667131135
2020-08-20 11:00:00,110.01,84.08874073611983
2020-08-20 12:00:00,108.42,105.89160856814989
2020-08-20 13:00:00,104.92,111.76024282584348
2020-08-20 14:00:00,103.68,103.92822247576687
2020-08-20 15:00:00,105.01,95.44604727343398
2020-08-20 16:00:00,107.82,97.95191162265834
2020-08-20 17:00:00,112.37,110.52733603340555
2020-08-20 18:00:00,119.0,120.14990579845636
2020-08-20 19:00:00,121.48,113.43070679156034
2020-08-20 20:00:00,119.93,88.76540230924962
2020-08-20 21:00:00,48.9,57.822606890577156
2020-08-20 22:00:00,45.64,35.47987916917819
2020-08-20 23:00:00,40.74,27.955867126726957
2020-08-21 00:00:00,37.23,29.861285239540194
2020-08-21 01:00:00,36.76,31.7227748805226
2020-08-21 02:00:00,36.56,29.56593625286542
2020-08-21 03:00:00,37.78,27.088890351529237
2020-08-21 04:00:00,38.88,29.323243195299646
2020-08-21 05:00:00,46.46,35.5710934266922
2020-08-21 06:00:00,49.46,39.72507668856713
2020-08-21 07:00:00,48.39,37.73696474294732
2020-08-21 08:00:00,43.88,33.87921343073837
2020-08-21 09:00:00,42.78,38.20156167703346
2020-08-21 10:00:00,43.54,56.69488164238257
2020-08-21 11:00:00,108.27,83.82640235214704
2020-08-21 12:00:00,106.92,105.64438980396034
2020-08-21 13:00:00,103.63,111.51670246047475
2020-08-21 14:00:00,103.14,103.67516856165555
2020-08-21 15:00:00,109.97,95.16866268720676
2020-08-21 16:00:00,115.41,97.63390852235409
2020-08-21 17:00:00,118.42,110.15113762874412
2020-08-21 18:00:00,119.33,119.69685345639968
2020-08-21 19:00:00,119.65,112.88129013600576
2020-08-21 20:00:00,118.16,88.09950962273399
2020-08-21 21:00:00,48.78,57.01979282452803
2020-08-21 22:00:00,44.52,34.519646496528644
2020-08-21 23:00:00,39.3,26.817959035427315
2020-08-22 00:00:00,38.91,28.525984489127445
2020-08-22 01:00:00,39.82,30.171205985719862
2020-08-22 02:00:00,38.24,27.78036677592886
2020-08-22 03:00:00,38.08,25.05302733801866
2020-08-22 04:00:00,38.73,27.022520801237853
