,y_test,y_pred
55558,42.23,
55559,39.36,
55560,38.53,
55561,39.09,
55562,38.68,
55563,39.2,
55564,38.82,
55565,38.5,
55566,38.89,
55567,40.33,
55568,39.23,
55569,39.28,
55570,39.42,
55571,103.86,
55572,102.47,
55573,99.87,
55574,99.53,
55575,101.7,
55576,103.72,
55577,104.81,
55578,111.81,
55579,112.87,
55580,116.22,
55581,46.74,
55582,42.08,
55583,40.6,
55584,40.25,
55585,39.17,
55586,38.38,
55587,39.27,
55588,46.27,
55589,51.11,
55590,51.96,
55591,52.15,
55592,51.61,
55593,51.52,
55594,51.35,
55595,116.03,
55596,114.32,
55597,113.51,
55598,114.07,
55599,116.09,
55600,116.63,
55601,115.85,
55602,117.14,
55603,118.17,
55604,117.77,
55605,46.2,
55606,42.71,
55607,39.53,
55608,39.79,
55609,40.36,
55610,39.98,
55611,40.21,
55612,42.21,
55613,48.14,
55614,51.16,
55615,51.13,
55616,49.23,
55617,45.97,
55618,47.36,
55619,112.89,
55620,111.15,
55621,110.45,
55622,109.27,
55623,114.18,
55624,117.25,
55625,118.35,
55626,118.77,
55627,118.75,
55628,117.68,
55629,46.06,
55630,45.76,
55631,41.83,
55632,41.11,
55633,41.6,
55634,43.43,
55635,43.28,
55636,45.06,
55637,45.2,
55638,47.17,
55639,46.27,
55640,46.07,
55641,48.1,
55642,49.33,
55643,116.06,
55644,115.61,
55645,113.25,
55646,109.93,
55647,109.51,
55648,116.33,
55649,120.49,
55650,121.36,
55651,120.38,
55652,119.8,
55653,48.24,
55654,49.93,
55655,48.24,
55656,42.55,
55657,42.27,
55658,42.07,
55659,42.18,
55660,43.33,
55661,48.83,
55662,49.21,
55663,48.99,
55664,47.09,
55665,46.69,
55666,49.04,
55667,115.7,
55668,114.85,
55669,112.54,
55670,112.57,
55671,116.4,
55672,119.71,
55673,120.9,
55674,124.48,
55675,121.25,
55676,119.29,
55677,48.35,
55678,50.39,
55679,44.12,
55680,40.77,
55681,41.28,
55682,42.18,
55683,44.34,
55684,47.29,
55685,50.6,
55686,49.7,
55687,50.2,
55688,48.76,
55689,49.36,
55690,52.21,
55691,117.68,
55692,116.6,
55693,113.19,
55694,115.19,
55695,116.71,
55696,121.13,
55697,122.22,
55698,125.51,
55699,122.49,
55700,120.62,
55701,51.69,
55702,51.29,
55703,52.07,
55704,51.35,
55705,50.28,
55706,50.74,
55707,50.31,
55708,48.86,
55709,48.87,
55710,45.04,
55711,48.99,
55712,48.01,
55713,45.91,
55714,47.1,
55715,108.84,
55716,106.29,
55717,108.09,
55718,105.77,
55719,109.63,
55720,115.1,
55721,118.48,
55722,119.39,
55723,119.19,
55724,119.29,
55725,51.86,
