ds,y_test,y_pred
2020-07-31 13:00:00,119.76,111.87877663587554
2020-07-31 14:00:00,119.47,111.41776527684664
2020-07-31 15:00:00,120.49,110.96005263737862
2020-07-31 16:00:00,120.55,111.80953719755568
2020-07-31 17:00:00,122.01,114.25010498388434
2020-07-31 18:00:00,123.2,115.6197943779887
2020-07-31 19:00:00,124.08,116.85893041197075
2020-07-31 20:00:00,123.08,117.4989673829391
2020-07-31 21:00:00,54.42,49.58220583693888
2020-07-31 22:00:00,49.74,50.077716304227
2020-07-31 23:00:00,43.54,45.45568048543735
2020-08-01 00:00:00,42.12,43.40563115470228
2020-08-01 01:00:00,40.87,43.99640938066577
2020-08-01 02:00:00,40.95,43.91871522422882
2020-08-01 03:00:00,40.91,44.48101291736235
2020-08-01 04:00:00,40.49,45.78523067268827
2020-08-01 05:00:00,40.35,47.48586828475075
2020-08-01 06:00:00,41.73,48.083102031260225
2020-08-01 07:00:00,43.46,48.17027330002924
2020-08-01 08:00:00,41.87,46.94549923171869
2020-08-01 09:00:00,43.74,47.53434101892205
2020-08-01 10:00:00,46.23,48.48207629312398
2020-08-01 11:00:00,112.99,114.16645403279915
2020-08-01 12:00:00,109.45,113.79531634852677
2020-08-01 13:00:00,106.07,111.99775689360332
2020-08-01 14:00:00,105.99,111.53734182539037
2020-08-01 15:00:00,108.75,111.0796206351264
2020-08-01 16:00:00,114.34,111.9271252480257
2020-08-01 17:00:00,116.09,114.36378709534762
2020-08-01 18:00:00,115.95,115.7316393318704
2020-08-01 19:00:00,115.4,116.96953704345901
2020-08-01 20:00:00,114.65,117.61013917747346
2020-08-01 21:00:00,45.2,49.75912478992885
2020-08-01 22:00:00,42.23,50.25331023337601
2020-08-01 23:00:00,39.36,45.57460644592505
2020-08-02 00:00:00,38.53,43.52693876429248
2020-08-02 01:00:00,39.09,44.11884943308541
2020-08-02 02:00:00,38.68,44.04169129524708
2020-08-02 03:00:00,39.2,44.60389602632816
2020-08-02 04:00:00,38.82,45.9060786516869
2020-08-02 05:00:00,38.5,47.60281152104545
2020-08-02 06:00:00,38.89,48.19821121072939
2020-08-02 07:00:00,40.33,48.28416546253323
2020-08-02 08:00:00,39.23,47.06000929290906
2020-08-02 09:00:00,39.28,47.71153001473879
2020-08-02 10:00:00,39.42,48.65789769240357
2020-08-02 11:00:00,103.86,114.28257845735274
2020-08-02 12:00:00,102.47,113.91372626565898
2020-08-02 13:00:00,99.87,112.11738270385314
2020-08-02 14:00:00,99.53,111.65750174146535
2020-08-02 15:00:00,101.7,111.19971525513238
2020-08-02 16:00:00,103.72,112.04519087459407
2020-08-02 17:00:00,104.81,114.47790504722217
2020-08-02 18:00:00,111.81,115.84387787451006
2020-08-02 19:00:00,112.87,117.08049704526711
2020-08-02 20:00:00,116.22,117.72162362423063
2020-08-02 21:00:00,46.74,49.93619701745159
2020-08-02 22:00:00,42.08,50.429025745373245
2020-08-02 23:00:00,40.6,45.693733034511055
2020-08-03 00:00:00,40.25,43.64841290400948
2020-08-03 01:00:00,39.17,44.241426201522934
2020-08-03 02:00:00,38.38,44.16477740950958
2020-08-03 03:00:00,39.27,44.72686546782092
2020-08-03 04:00:00,46.27,46.02699464211773
2020-08-03 05:00:00,51.11,47.71980960839601
2020-08-03 06:00:00,51.96,48.313359574174676
2020-08-03 07:00:00,52.15,48.39808132025825
2020-08-03 08:00:00,51.61,47.17452533703868
2020-08-03 09:00:00,51.52,47.88858726526867
2020-08-03 10:00:00,51.35,48.83357556260251
2020-08-03 11:00:00,116.03,114.39865694583293
2020-08-03 12:00:00,114.32,114.03207338421095
2020-08-03 13:00:00,113.51,112.23693192497332
2020-08-03 14:00:00,114.07,111.77757330362324
2020-08-03 15:00:00,116.09,111.31971167597636
2020-08-03 16:00:00,116.63,112.16315287628504
2020-08-03 17:00:00,115.85,114.59191820794409
2020-08-03 18:00:00,117.14,115.95600711955636
2020-08-03 19:00:00,118.17,117.19134264432493
2020-08-03 20:00:00,117.77,117.83298561969288
2020-08-03 21:00:00,46.2,50.113018037543284
2020-08-03 22:00:00,42.71,50.60448662106031
2020-08-03 23:00:00,39.53,45.81271011576899
2020-08-04 00:00:00,39.79,43.769727907473985
2020-08-04 01:00:00,40.36,44.36383677769127
2020-08-04 02:00:00,39.98,44.28769182684685
2020-08-04 03:00:00,40.21,44.849659190683106
2020-08-04 04:00:00,42.21,46.14773490090995
2020-08-04 05:00:00,48.14,47.836635826965555
2020-08-04 06:00:00,51.16,48.428336243724836
2020-08-04 07:00:00,51.13,48.511824733667176
2020-08-04 08:00:00,49.23,47.28886494083399
2020-08-04 09:00:00,45.97,48.06534333774446
2020-08-04 10:00:00,47.36,49.008952333136826
2020-08-04 11:00:00,112.89,114.51454275531248
2020-08-04 12:00:00,111.15,114.15022123853112
2020-08-04 13:00:00,110.45,112.35627764786932
2020-08-04 14:00:00,109.27,111.89743849049226
2020-08-04 15:00:00,114.18,111.43950014177172
2020-08-04 16:00:00,117.25,112.2809091788564
2020-08-04 17:00:00,118.35,114.70573164153106
2020-08-04 18:00:00,118.77,116.06793877773747
2020-08-04 19:00:00,118.75,117.30199173603788
2020-08-04 20:00:00,117.68,117.94414881869855
2020-08-04 21:00:00,46.06,50.28951709369197
2020-08-04 22:00:00,45.76,50.779627080923625
2020-08-04 23:00:00,41.83,45.93147633327478
2020-08-05 00:00:00,41.11,43.890826737648794
2020-08-05 01:00:00,41.6,44.486028138936916
2020-08-05 02:00:00,43.43,44.41038525686268
2020-08-05 03:00:00,43.28,44.97223137426327
2020-08-05 04:00:00,45.06,46.26825682794642
2020-08-05 05:00:00,45.2,47.95325056506823
2020-08-05 06:00:00,47.17,48.54310439412446
2020-08-05 07:00:00,46.27,48.625361471251665
2020-08-05 08:00:00,46.07,47.40299629184102
2020-08-05 09:00:00,48.1,48.241768900832426
2020-08-05 10:00:00,49.33,49.18400075918659
2020-08-05 11:00:00,116.06,114.63021037545158
2020-08-05 12:00:00,115.61,114.268146136465
2020-08-05 13:00:00,113.25,112.4753978680942
2020-08-05 14:00:00,109.93,112.01707686555248
2020-08-05 15:00:00,109.51,111.55906167243141
2020-08-05 16:00:00,116.33,112.3984421499294
2020-08-05 17:00:00,120.49,114.81932896189318
2020-08-05 18:00:00,121.36,116.17965762880345
2020-08-05 19:00:00,120.38,117.41243018638781
2020-08-05 20:00:00,119.8,118.0551001039496
2020-08-05 21:00:00,48.24,50.46568224501915
